Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
PPP2R1A_ACVR1	UCEC	WithSecondM	1	1	2	6
PPP2R1A_ACVR1	UCEC	WOSecondM	13	37	24	263
PPP2R1A_ERBB3	UCEC	WithSecondM	1	1	2	15
PPP2R1A_ERBB3	UCEC	WOSecondM	13	37	24	254
PPP2R1A_ATM	UCEC	WithSecondM	1	1	2	24
PPP2R1A_ATM	UCEC	WOSecondM	13	37	24	245
PPP2R1A_ZFHX3	UCEC	WithSecondM	1	2	1	39
PPP2R1A_ZFHX3	UCEC	WOSecondM	13	36	25	230
PPP2R1A_PDS5B	UCEC	WithSecondM	1	1	1	12
PPP2R1A_PDS5B	UCEC	WOSecondM	13	37	25	257
PPP2R1A_CTNNB1	UCEC	WithSecondM	1	3	2	72
PPP2R1A_CTNNB1	UCEC	WOSecondM	13	35	24	197
PPP2R1A_AKT1	UCEC	WithSecondM	1	1	1	9
PPP2R1A_AKT1	UCEC	WOSecondM	13	37	25	260
PPP2R1A_PIK3CA	UCEC	WithSecondM	3	10	7	129
PPP2R1A_PIK3CA	UCEC	WOSecondM	11	28	19	140
PPP2R1A_ATR	UCEC	WithSecondM	1	1	1	10
PPP2R1A_ATR	UCEC	WOSecondM	13	37	25	259
PPP2R1A_CTNND1	UCEC	WithSecondM	1	1	1	11
PPP2R1A_CTNND1	UCEC	WOSecondM	13	37	25	258
PPP2R1A_MYCN	UCEC	WithSecondM	1	1	1	7
PPP2R1A_MYCN	UCEC	WOSecondM	13	37	25	262
PPP2R1A_KANSL1	UCEC	WithSecondM	1	1	3	19
PPP2R1A_KANSL1	UCEC	WOSecondM	13	37	23	250
PPP2R1A_CHD4	UCEC	WithSecondM	2	5	6	39
PPP2R1A_CHD4	UCEC	WOSecondM	12	33	20	230
PPP2R1A_INPPL1	UCEC	WithSecondM	1	1	1	32
PPP2R1A_INPPL1	UCEC	WOSecondM	13	37	25	237
PPP2R1A_PTEN	UCEC	WithSecondM	2	9	8	202
PPP2R1A_PTEN	UCEC	WOSecondM	12	29	18	67
PPP2R1A_U2AF1	UCEC	WithSecondM	2	1	1	4
PPP2R1A_U2AF1	UCEC	WOSecondM	12	37	25	265
PPP2R1A_NFE2L2	UCEC	WithSecondM	1	1	1	17
PPP2R1A_NFE2L2	UCEC	WOSecondM	13	37	25	252
PPP2R1A_MAP3K1	UCEC	WithSecondM	1	1	3	19
PPP2R1A_MAP3K1	UCEC	WOSecondM	13	37	23	250
PPP2R1A_NRAS	UCEC	WithSecondM	1	1	1	9
PPP2R1A_NRAS	UCEC	WOSecondM	13	37	25	260
PPP2R1A_RB1	UCEC	WithSecondM	1	4	1	13
PPP2R1A_RB1	UCEC	WOSecondM	13	34	25	256
PPP2R1A_SOX17	UCEC	WithSecondM	1	1	1	6
PPP2R1A_SOX17	UCEC	WOSecondM	13	37	25	263
PPP2R1A_PIK3R2	UCEC	WithSecondM	1	1	2	7
PPP2R1A_PIK3R2	UCEC	WOSecondM	13	37	24	262
PPP2R1A_PIK3R1	UCEC	WithSecondM	2	7	3	82
PPP2R1A_PIK3R1	UCEC	WOSecondM	12	31	23	187
PPP2R1A_ATF7IP	UCEC	WithSecondM	1	1	3	14
PPP2R1A_ATF7IP	UCEC	WOSecondM	13	37	23	255
PPP2R1A_SIN3A	UCEC	WithSecondM	1	1	1	15
PPP2R1A_SIN3A	UCEC	WOSecondM	13	37	25	254
PPP2R1A_SMC1A	UCEC	WithSecondM	1	1	1	1
PPP2R1A_SMC1A	UCEC	WOSecondM	13	37	25	268
PPP2R1A_KMT2B	UCEC	WithSecondM	1	1	2	39
PPP2R1A_KMT2B	UCEC	WOSecondM	13	37	24	230
PPP2R1A_RRAS2	UCEC	WithSecondM	1	1	1	5
PPP2R1A_RRAS2	UCEC	WOSecondM	13	37	25	264
PPP2R1A_SPOP	UCEC	WithSecondM	1	1	3	10
PPP2R1A_SPOP	UCEC	WOSecondM	13	37	23	259
PPP2R1A_CHD3	UCEC	WithSecondM	1	1	1	31
PPP2R1A_CHD3	UCEC	WOSecondM	13	37	25	238
PPP2R1A_SCAF4	UCEC	WithSecondM	1	1	1	22
PPP2R1A_SCAF4	UCEC	WOSecondM	13	37	25	247
PPP2R1A_MSH6	UCEC	WithSecondM	1	1	1	12
PPP2R1A_MSH6	UCEC	WOSecondM	13	37	25	257
PPP2R1A_BCOR	UCEC	WithSecondM	1	1	1	6
PPP2R1A_BCOR	UCEC	WOSecondM	13	37	25	263
PPP2R1A_TP53	UCEC	WithSecondM	13	31	18	47
PPP2R1A_TP53	UCEC	WOSecondM	1	7	8	222
PPP2R1A_EP300	UCEC	WithSecondM	1	1	1	22
PPP2R1A_EP300	UCEC	WOSecondM	13	37	25	247
PPP2R1A_FGFR2	UCEC	WithSecondM	2	4	2	36
PPP2R1A_FGFR2	UCEC	WOSecondM	12	34	24	233
PPP2R1A_KRAS	UCEC	WithSecondM	1	3	5	63
PPP2R1A_KRAS	UCEC	WOSecondM	13	35	21	206
PPP2R1A_ZMYM2	UCEC	WithSecondM	1	1	1	14
